493581,F,AUTO,0.25,8.43,1.41,0.33,3.9,1.91,30.87,15,13,4
493582,SC,BANK,0.3,8.19,2.83,1.35,15.36,0.96,25.3,7,-4,1
493583,TSLA,AUTO,0.6,0,-0.27,12.06,-6.81,2.18,-21.45,6,-12,4
493585,MSFT,TECH,0.22,46.23,2.41,7.53,16.38,2.92,23.07,0,5,4
493586,MSFT,TECH,0.27,40.42,1.26,4.74,12.06,2.9,13.56,3,6,4
493587,AXP,BANK,0.2,15.19,5.55,2.48,16.27,2.23,28.81,6,-9,1
493588,COST,RETAIL,0.16,29.5,5.42,0.58,1.97,0.93,19.45,18,-3,4
493589,KSS,RETAIL,0.43,11.1,3.07,0.34,3.02,1.77,10.67,7,1,4
493590,GM,AUTO,0.26,0,-3.3,0.37,-3.28,0.88,-12.3,8,1,4
493592,DB,BANK,0.23,0,-0.21,0.69,-0.19,0.69,-0.12,7,-7,4
493593,AMZN,TECH,0.19,244,3.94,2.92,1.2,1.03,8.67,17,17,4
493594,PEP,FMCG,0.1,32.49,3.37,2.48,7.65,1.51,39.97,18,-8,4
493595,UBS,BANK,0.25,14.36,1.09,1.62,10.99,1.21,7.43,1,0,4
493596,BBY,RETAIL,0.39,12.58,3.73,0.38,3.01,1.49,26.69,6,-9,4
493598,MSFT,TECH,0.19,16.1,2.55,3.76,23.35,2.52,24.25,16,13,2
493599,TSLA,AUTO,0.35,0,-1.71,5.08,-13.07,1.09,-24.11,10,19,4
493600,AAPL,TECH,0.26,12.88,2.07,2.73,21.19,1.35,35.59,10,-1,1
493601,TGT,RETAIL,0.24,10.14,4.9,0.41,3.95,0.96,24.95,11,-10,4
493602,GOOG,TECH,0.28,26.74,22.75,6.3,21.59,4.77,14.08,11,6,1
493603,DB,BANK,0.25,14.53,1.97,0.6,3.9,0.64,2.45,5,5,4
493604,DB,BANK,0.31,0,-1.12,0.51,-4.11,0.77,-2.34,4,13,4
493605,HOG,AUTO,0.26,12.78,3.75,1.7,13.24,1.86,26.13,14,6,1
493606,HOG,AUTO,0.2,14.95,3.9,2.06,13.7,1.78,27.64,0,-6,1
493607,HOG,AUTO,0.2,17.53,3.27,2.18,12.44,1.59,25.82,16,18,1
